job_id,post_date,industry,company,company_size,work_type,experience_level,education_required,salary_midpoint,skills_required,is_tech_role,education_background,min_GPA_requirement,job_title,year
J0000012,2024-05-25,Education,Atlas Solutions,Large (1001-5000),Hybrid,Mid (3-5 yrs),Associate,72000,Financial Modeling|Power BI|FP&A|Bloomberg|SQL,0,Statistics|Mathematics|Informatics Engineering,3.78,Financial Analyst,2024
J0000013,2022-12-23,Retail,Pioneer Analytics,Mid-size (201-1000),On-site,Mid (3-5 yrs),Bachelor's,173000,Penetration Testing|Python|Compliance|SIEM,0,Informatics Engineering,3.67,Cybersecurity Analyst,2022
J0000014,2023-08-02,Tech,Nova Digital,Mid-size (201-1000),Hybrid,Mid (3-5 yrs),Master's,99000,Digital Marketing|Analytics|Content Strategy|A/B Testing,1,Management|Law,3.17,Marketing Manager,2023
J0000015,2023-04-12,Consulting,Summit Ventures,Mid-size (201-1000),Remote,Lead (10-15 yrs),Master's,224000,Java|AWS|Python|SQL|Docker|REST APIs,0,Informatics Engineering|Computer Science,3.15,Backend Developer,2023
J0000016,2022-07-26,Healthcare,Catalyst AI,Mid-size (201-1000),Hybrid,Senior (6-9 yrs),Bachelor's,197000,TensorFlow|Docker|Spark,0,Mathematics|Statistics,3.15,Machine Learning Engineer,2022
J0000017,2020-09-16,Tech,Atlas Group,Mid-size (201-1000),On-site,Senior (6-9 yrs),Master's,128000,Usability Testing|Figma|Prototyping|Adobe XD|Design Thinking|User Research,1,Administration,3.24,UX Designer,2020
J0000018,2023-04-25,Education,Atlas Systems,Enterprise (5000+),On-site,Entry (0-2 yrs),Bachelor's,140000,REST APIs|Kubernetes|AWS|SQL|Docker,0,Information Systems|Informatics Engineering,3.42,Software Engineer,2023
J0000019,2020-04-09,Logistics,Vertex AI,Startup (1-50),On-site,Mid (3-5 yrs),Bachelor's,68000,CRM|Content Strategy|SEO,0,Management|Psychology,3.35,Marketing Manager,2020
J0000020,2024-09-14,Finance,Quantum Digital,Large (1001-5000),On-site,Senior (6-9 yrs),Bachelor's,193000,SIEM|Compliance|Network Security,0,Mathematics|Statistics|Informatics Engineering,3.23,Cybersecurity Analyst,2024
J0000021,2023-04-03,Retail,Pinnacle Digital,Mid-size (201-1000),On-site,Mid (3-5 yrs),Bachelor's,174000,Python|Statistics|Derivatives|Risk Management,0,Informatics Engineering|Mathematics|Statistics,3.49,Quantitative Analyst,2023
J0000022,2023-02-07,E-commerce,Nexus AI,Mid-size (201-1000),On-site,Lead (10-15 yrs),Bachelor's,231000,JavaScript|REST APIs|TypeScript|HTML/CSS|Git,0,Informatics Engineering|Information Systems,3.11,Frontend Developer,2023
J0000023,2023-11-18,Manufacturing,Nexus Analytics,Startup (1-50),On-site,Entry (0-2 yrs),Bachelor's,58000,Six Sigma|ERP|Process Improvement|Lean|Data Analysis,0,Industrial Engineering,3.23,Operations Manager,2023
J0000024,2021-06-21,Logistics,Vanguard Analytics,Large (1001-5000),On-site,Entry (0-2 yrs),Bachelor's,86000,Talent Acquisition|Compensation|HRIS|Performance Management|Employment Law,0,Psychology|Law,3.29,HR Manager,2021
J0000025,2022-09-17,Finance,Quantum Ventures,Startup (1-50),Hybrid,Mid (3-5 yrs),Master's,167000,SQL|Risk Management|Financial Modeling|C++|R|Derivatives,0,Statistics,3.36,Quantitative Analyst,2022
J0000026,2022-02-20,Tech,Vertex Ventures,Large (1001-5000),On-site,Lead (10-15 yrs),Bachelor's,210000,Data Visualization|Excel|Tableau|Statistics|Python,1,Informatics Engineering|Statistics,3.63,Data Analyst,2022
J0000027,2024-09-29,Government,Summit Inc,Large (1001-5000),Hybrid,Senior (6-9 yrs),Master's,275000,Airflow|Spark|SQL|Python|AWS,0,Mathematics|Informatics Engineering|Statistics,3.16,Data Engineer,2024
J0000028,2023-03-24,Education,Stellar Labs,Small (51-200),Hybrid,Senior (6-9 yrs),Bachelor's,144000,R|Python|Tableau,0,Mathematics|Informatics Engineering|Statistics,3.41,Data Scientist,2023
J0000029,2022-02-12,Education,Nexus Systems,Small (51-200),Hybrid,Entry (0-2 yrs),Bootcamp,58000,Python|Statistics|Excel|Data Visualization|Tableau|Power BI,0,Statistics|Mathematics,3.47,Data Analyst,2022
J0000030,2023-12-10,Finance,Stellar Technologies,Mid-size (201-1000),On-site,Lead (10-15 yrs),Bachelor's,280000,Security|Kubernetes|Terraform|AWS|Cost Optimization,0,Information Systems|Informatics Engineering|Computer Science,3.04,Cloud Architect,2023
J0000031,2021-04-16,Retail,Summit Digital,Small (51-200),Remote,Mid (3-5 yrs),Bachelor's,111000,TensorFlow|R|Statistics,0,Management,3.49,Research Scientist,2021
J0000032,2023-05-11,Finance,Apex Ventures,Large (1001-5000),Remote,Entry (0-2 yrs),Bachelor's,79000,Process Improvement|Data Analysis|Lean|Supply Chain|Budgeting|ERP,0,Psychology,3.14,Operations Manager,2023
J0000033,2022-08-26,Education,Pinnacle Labs,Small (51-200),Hybrid,Senior (6-9 yrs),Bachelor's,240000,Python|CI/CD|Docker|AWS|Terraform,0,Computer Science|Informatics Engineering,3.05,DevOps Engineer,2022
J0000034,2020-10-20,Retail,Apex Partners,Enterprise (5000+),On-site,Senior (6-9 yrs),Master's,211000,JavaScript|HTML/CSS|Figma|Git|React|REST APIs,0,Information Systems,3.76,Frontend Developer,2020
J0000035,2022-10-23,Education,Horizon Ventures,Startup (1-50),Remote,Executive (15+ yrs),Bachelor's,229000,AWS|Python|SQL,0,Statistics|Informatics Engineering|Mathematics,3.77,Data Engineer,2022
J0000036,2022-08-06,Retail,Stellar AI,Small (51-200),On-site,Entry (0-2 yrs),Master's,91000,Python|Statistics|Data Visualization|Tableau|Power BI|SQL,0,Mathematics|Statistics,3.65,Data Analyst,2022
J0000037,2024-08-07,Tech,Vertex Solutions,Mid-size (201-1000),Hybrid,Mid (3-5 yrs),Bachelor's,248000,Java|System Design|CI/CD|Kubernetes|AWS|Microservices,1,Computer Science,3.24,Senior Software Engineer,2024
J0000038,2024-10-06,E-commerce,Summit Inc,Mid-size (201-1000),Hybrid,Lead (10-15 yrs),Master's,258000,Snowflake|AWS|Spark|SQL|Airflow|Python,0,Informatics Engineering,3.08,Data Engineer,2024
J0000039,2020-12-04,Education,Summit Digital,Enterprise (5000+),Remote,Entry (0-2 yrs),Associate,100000,PyTorch|Spark|TensorFlow,0,Mathematics|Statistics|Informatics Engineering,3.55,Machine Learning Engineer,2020
J0000040,2020-07-25,Government,Vertex Group,Startup (1-50),On-site,Entry (0-2 yrs),Bachelor's,113000,Microservices|Security|AWS|Terraform,0,Computer Science|Information Systems|Informatics Engineering,3.35,Cloud Architect,2020
J0000041,2023-07-15,Consulting,Horizon AI,Large (1001-5000),Hybrid,Mid (3-5 yrs),Bachelor's,154000,PostgreSQL|Docker|SQL|AWS|REST APIs,0,Information Systems,3.1,Backend Developer,2023
J0000042,2022-10-22,E-commerce,Pinnacle Labs,Small (51-200),Hybrid,Lead (10-15 yrs),Master's,150000,Google Ads|Content Strategy|A/B Testing|Digital Marketing|SEO,0,Management|Law,3.4,Marketing Manager,2022
J0000043,2022-04-18,Finance,Apex Labs,Small (51-200),Hybrid,Mid (3-5 yrs),Associate,141000,Publications|Statistics|Research|R|Machine Learning,0,Management,3.03,Research Scientist,2022
J0000044,2023-11-07,Finance,Quantum Systems,Startup (1-50),Hybrid,Mid (3-5 yrs),Bachelor's,183000,Docker|CI/CD|Python|Terraform|Linux|Kubernetes,0,Informatics Engineering|Computer Science|Information Systems,3.73,DevOps Engineer,2023
J0000045,2021-02-13,Finance,Catalyst Technologies,Large (1001-5000),Hybrid,Lead (10-15 yrs),PhD,247000,Google Ads|Digital Marketing|A/B Testing|Content Strategy|CRM,0,Psychology|Law,3.21,Marketing Manager,2021
J0000046,2020-05-24,Consulting,Pinnacle Group,Mid-size (201-1000),Hybrid,Senior (6-9 yrs),Bachelor's,124000,A/B Testing|Digital Marketing|Analytics|SEO|Google Ads,0,Psychology|Management|Law,3.53,Marketing Manager,2020
J0000047,2022-04-29,Logistics,Summit Inc,Small (51-200),On-site,Executive (15+ yrs),Bachelor's,277000,JavaScript|React|Figma|HTML/CSS|REST APIs|Git,0,Information Systems|Computer Science|Informatics Engineering,3.25,Frontend Developer,2022
J0000048,2022-10-03,E-commerce,Stellar Systems,Enterprise (5000+),Hybrid,Mid (3-5 yrs),Master's,192000,Product Strategy|Agile|A/B Testing|Roadmapping,0,Psychology,3.42,Product Manager,2022
J0000049,2020-04-03,Education,Quantum Systems,Enterprise (5000+),On-site,Mid (3-5 yrs),Master's,202000,Security|GCP|Cost Optimization|Kubernetes|Azure|Terraform,0,Informatics Engineering|Computer Science,3.44,Cloud Architect,2020
J0000050,2023-09-22,Consulting,Summit Systems,Mid-size (201-1000),On-site,Entry (0-2 yrs),High School,104000,Microservices|Kubernetes|System Design,0,Information Systems,3.15,Senior Software Engineer,2023
J0000051,2023-12-19,Media,Quantum Technologies,Large (1001-5000),On-site,Entry (0-2 yrs),High School,60000,Tableau|SQL|Data Visualization|Python|Power BI,0,Statistics|Informatics Engineering|Mathematics,3.78,Data Analyst,2023
J0000052,2023-06-02,Consulting,Meridian Partners,Startup (1-50),Hybrid,Senior (6-9 yrs),Bachelor's,180000,Spark|Machine Learning|Statistics|TensorFlow|R,0,Statistics|Informatics Engineering|Mathematics,3.62,Data Scientist,2023
J0000053,2024-08-11,Manufacturing,Pioneer Partners,Large (1001-5000),Hybrid,Senior (6-9 yrs),Bachelor's,292000,Statistics|R|C++|Python|Derivatives,0,Informatics Engineering|Mathematics,3.75,Quantitative Analyst,2024
J0000054,2021-11-16,Education,Catalyst Systems,Mid-size (201-1000),Remote,Mid (3-5 yrs),Bachelor's,133000,Cost Optimization|Terraform|AWS|Security,0,Computer Science|Information Systems|Informatics Engineering,3.72,Cloud Architect,2021
J0000055,2022-05-13,Government,Nova Analytics,Large (1001-5000),Hybrid,Mid (3-5 yrs),Associate,124000,R|Statistics|Publications|TensorFlow,0,Communication Science,3.48,Research Scientist,2022
J0000056,2023-06-02,Consulting,Meridian Analytics,Startup (1-50),Hybrid,Mid (3-5 yrs),Bachelor's,197000,SQL|R|Statistics|Python|Derivatives,0,Informatics Engineering|Mathematics,3.74,Quantitative Analyst,2023
J0000057,2022-08-23,Education,Vanguard Inc,Enterprise (5000+),On-site,Senior (6-9 yrs),Associate,182000,Python|AWS|Airflow|SQL|Snowflake|Spark,0,Mathematics,3.07,Data Engineer,2022
J0000058,2021-09-07,Retail,Pioneer Labs,Enterprise (5000+),On-site,Senior (6-9 yrs),Master's,170000,Figma|Usability Testing|Adobe XD,0,Management,3.16,UX Designer,2021
J0000059,2023-09-07,Tech,Pioneer Systems,Mid-size (201-1000),On-site,Mid (3-5 yrs),Master's,164000,System Design|Java|AWS,1,Computer Science|Informatics Engineering|Information Systems,3.04,Senior Software Engineer,2023
J0000060,2021-12-22,Finance,Summit Technologies,Startup (1-50),Hybrid,Mid (3-5 yrs),Bachelor's,172000,Python|AWS|System Design|Java|CI/CD|Docker,0,Information Systems,3.26,Senior Software Engineer,2021
J0000061,2024-07-03,Education,Quantum Labs,Small (51-200),Remote,Entry (0-2 yrs),Bachelor's,145000,Azure|Cost Optimization|GCP|Microservices|AWS|Security,0,Information Systems|Informatics Engineering,3.31,Cloud Architect,2024
J0000062,2020-10-18,Education,Vertex Technologies,Large (1001-5000),On-site,Mid (3-5 yrs),Bachelor's,197000,Python|AWS|Airflow,0,Mathematics|Statistics,3.22,Data Engineer,2020
J0000063,2022-12-03,Education,Apex Inc,Startup (1-50),Remote,Lead (10-15 yrs),Associate,164000,Prototyping|Adobe XD|User Research|Figma|Design Thinking,0,Administration,3.66,UX Designer,2022
J0000064,2021-10-10,Manufacturing,Pinnacle Ventures,Mid-size (201-1000),Hybrid,Senior (6-9 yrs),Bachelor's,300000,Statistics|Derivatives|Python|R|SQL,0,Mathematics|Informatics Engineering|Statistics,3.29,Quantitative Analyst,2021
J0000065,2020-06-26,Logistics,Vertex Group,Startup (1-50),Hybrid,Lead (10-15 yrs),Associate,177000,Python|Penetration Testing|Incident Response|Compliance,0,Mathematics|Statistics,3.22,Cybersecurity Analyst,2020
J0000066,2021-04-03,Government,Synergy Corp,Large (1001-5000),Hybrid,Entry (0-2 yrs),Bachelor's,86000,Design Thinking|Prototyping|Adobe XD|Figma,0,Administration|Communication Science,3.43,UX Designer,2021
J0000067,2021-10-05,Retail,Vertex Partners,Startup (1-50),Hybrid,Senior (6-9 yrs),PhD,160000,Prototyping|Usability Testing|Design Thinking|Figma,0,Management,3.11,UX Designer,2021
J0000068,2021-01-13,Media,Catalyst Solutions,Large (1001-5000),Hybrid,Senior (6-9 yrs),Master's,240000,Kubernetes|CI/CD|Python,0,Informatics Engineering,3.64,DevOps Engineer,2021
J0000069,2020-09-28,Government,Apex Group,Small (51-200),On-site,Senior (6-9 yrs),PhD,221000,SQL|R|Spark,0,Informatics Engineering|Mathematics,3.06,Data Scientist,2020
J0000070,2020-09-08,Tech,Nexus Labs,Enterprise (5000+),On-site,Mid (3-5 yrs),Bachelor's,174000,Python|REST APIs|Redis|SQL|AWS,1,Informatics Engineering|Information Systems|Computer Science,3.79,Backend Developer,2020
J0000071,2023-01-11,Media,Vertex Corp,Small (51-200),Hybrid,Executive (15+ yrs),Bachelor's,424000,AWS|Python|TensorFlow|PyTorch|Docker,0,Mathematics|Informatics Engineering|Statistics,3.62,Machine Learning Engineer,2023
J0000072,2020-01-22,Retail,Nexus Ventures,Mid-size (201-1000),Hybrid,Mid (3-5 yrs),Master's,146000,AWS|REST APIs|Docker|Java|Redis,0,Informatics Engineering,3.16,Backend Developer,2020
J0000073,2024-02-03,Media,Vanguard Corp,Mid-size (201-1000),On-site,Entry (0-2 yrs),Bachelor's,66000,Talent Acquisition|Employment Law|Compensation|HRIS,0,Management|Law,3.0,HR Manager,2024
J0000074,2022-12-15,Education,Summit Solutions,Enterprise (5000+),Remote,Senior (6-9 yrs),Associate,176000,PyTorch|AWS|Kubernetes|Docker|TensorFlow|Python,0,Mathematics|Statistics,3.65,Machine Learning Engineer,2022
J0000075,2022-12-10,Manufacturing,Stellar Inc,Large (1001-5000),On-site,Entry (0-2 yrs),Bachelor's,156000,SQL|Git|REST APIs|Docker,0,Information Systems,3.57,Software Engineer,2022
J0000076,2023-05-25,Consulting,Vanguard Systems,Mid-size (201-1000),On-site,Senior (6-9 yrs),PhD,232000,A/B Testing|Roadmapping|Stakeholder Management|Agile|Product Strategy|SQL,0,Law,3.58,Product Manager,2023
J0000077,2020-01-09,Logistics,Catalyst AI,Startup (1-50),On-site,Entry (0-2 yrs),Master's,126000,Roadmapping|Agile|SQL|Product Strategy|A/B Testing,0,Law|Psychology|Management,3.62,Product Manager,2020
J0000078,2022-01-05,Media,Pioneer Inc,Large (1001-5000),Hybrid,Entry (0-2 yrs),Bachelor's,135000,AWS|Cost Optimization|Azure|Security|Microservices|Terraform,0,Computer Science|Informatics Engineering,3.06,Cloud Architect,2022
J0000079,2021-10-19,Healthcare,Stellar Analytics,Large (1001-5000),On-site,Mid (3-5 yrs),Bachelor's,149000,User Research|Adobe XD|Figma|Usability Testing|Prototyping|Design Thinking,0,Management,3.29,UX Designer,2021
J0000080,2024-02-28,Consulting,Pinnacle Solutions,Large (1001-5000),Remote,Mid (3-5 yrs),High School,205000,Derivatives|Python|R,0,Statistics|Mathematics|Informatics Engineering,3.09,Quantitative Analyst,2024
J0000081,2022-03-16,Finance,Stellar Group,Small (51-200),On-site,Entry (0-2 yrs),Master's,122000,Terraform|Azure|Kubernetes|GCP|AWS|Microservices,0,Computer Science|Informatics Engineering,3.69,Cloud Architect,2022
J0000082,2021-10-01,Consulting,Quantum Solutions,Enterprise (5000+),On-site,Mid (3-5 yrs),High School,118000,Java|Docker|Redis,0,Information Systems|Informatics Engineering|Computer Science,3.5,Backend Developer,2021
J0000083,2023-02-17,Retail,Nexus Ventures,Enterprise (5000+),Remote,Mid (3-5 yrs),Bachelor's,141000,CRM|Google Ads|SEO|Digital Marketing|Content Strategy|Analytics,0,Law|Psychology,3.26,Marketing Manager,2023
J0000084,2020-09-18,Logistics,Pinnacle Technologies,Mid-size (201-1000),Hybrid,Senior (6-9 yrs),PhD,149000,Statistics|Python|Tableau,0,Informatics Engineering,3.05,Data Analyst,2020
J0000085,2020-08-06,Healthcare,Pinnacle Digital,Large (1001-5000),On-site,Senior (6-9 yrs),Master's,184000,Machine Learning|Tableau|R,0,Informatics Engineering,3.25,Data Scientist,2020
J0000086,2024-01-17,Retail,Horizon Partners,Large (1001-5000),On-site,Senior (6-9 yrs),Master's,199000,Python|Docker|Git|Kubernetes|SQL,0,Computer Science|Informatics Engineering|Information Systems,3.26,Software Engineer,2024
J0000087,2022-07-04,Retail,Atlas AI,Small (51-200),Remote,Lead (10-15 yrs),Bachelor's,197000,Statistics|Publications|Python|R|Research|TensorFlow,0,Communication Science,3.58,Research Scientist,2022
J0000088,2023-01-18,Finance,Vanguard Technologies,Mid-size (201-1000),On-site,Entry (0-2 yrs),Associate,122000,Snowflake|dbt|Spark|Python,0,Informatics Engineering|Mathematics,3.51,Data Engineer,2023
J0000089,2021-02-05,Manufacturing,Pioneer Ventures,Enterprise (5000+),On-site,Senior (6-9 yrs),Bachelor's,102000,Tableau|Python|Data Visualization,0,Mathematics|Informatics Engineering,3.71,Data Analyst,2021
J0000090,2021-01-27,Logistics,Meridian Labs,Large (1001-5000),Remote,Mid (3-5 yrs),Bootcamp,87000,SQL|Requirements Gathering|Agile|Excel|Tableau,0,Mathematics,3.38,Business Analyst,2021
J0000091,2023-12-26,Retail,Summit Labs,Enterprise (5000+),Remote,Mid (3-5 yrs),Bachelor's,78000,Tableau|Excel|SQL|Statistics|Power BI|Python,0,Informatics Engineering|Mathematics|Statistics,3.1,Data Analyst,2023
J0000092,2024-11-03,Finance,Nexus Partners,Enterprise (5000+),On-site,Entry (0-2 yrs),Bachelor's,183000,AWS|Terraform|Cost Optimization|GCP|Security,0,Computer Science,3.57,Cloud Architect,2024
J0000093,2024-11-28,Manufacturing,Atlas Inc,Mid-size (201-1000),Remote,Senior (6-9 yrs),Bachelor's,143000,Redis|AWS|REST APIs|PostgreSQL,0,Computer Science|Informatics Engineering,3.61,Backend Developer,2024
J0000094,2023-12-14,Logistics,Pinnacle Digital,Large (1001-5000),Hybrid,Entry (0-2 yrs),Bachelor's,103000,Git|TypeScript|JavaScript|REST APIs,0,Informatics Engineering|Information Systems,3.45,Frontend Developer,2023
J0000095,2021-10-19,Logistics,Quantum Digital,Enterprise (5000+),On-site,Senior (6-9 yrs),Bachelor's,175000,Docker|Git|Kubernetes|Python|Linux|AWS,0,Informatics Engineering|Computer Science,3.62,DevOps Engineer,2021
J0000096,2020-12-23,Education,Pinnacle Corp,Enterprise (5000+),On-site,Mid (3-5 yrs),Master's,169000,SIEM|Compliance|Incident Response|Network Security|Python|Penetration Testing,0,Statistics|Mathematics,3.4,Cybersecurity Analyst,2020
J0000097,2023-09-12,Manufacturing,Vanguard Technologies,Mid-size (201-1000),Hybrid,Mid (3-5 yrs),High School,114000,TypeScript|React|JavaScript,0,Information Systems|Computer Science,3.42,Frontend Developer,2023
J0000098,2020-01-12,Government,Catalyst Corp,Mid-size (201-1000),On-site,Entry (0-2 yrs),Bachelor's,76000,Python|REST APIs|Git,0,Informatics Engineering,3.34,Software Engineer,2020
J0000099,2021-10-01,Manufacturing,Vertex Group,Enterprise (5000+),Hybrid,Lead (10-15 yrs),Bachelor's,391000,CI/CD|Kubernetes|Docker|Python,0,Informatics Engineering|Information Systems,3.02,Senior Software Engineer,2021
J0000100,2021-01-04,Manufacturing,Pinnacle Systems,Enterprise (5000+),On-site,Mid (3-5 yrs),Bachelor's,93000,Six Sigma|ERP|Data Analysis|Budgeting|Supply Chain|Process Improvement,0,Electrical Engineering|Mechanical Engineering|Industrial Engineering,3.09,Operations Manager,2021
J0000101,2021-01-06,Manufacturing,Vanguard Analytics,Enterprise (5000+),Remote,Senior (6-9 yrs),Bachelor's,123000,Accounting|FP&A|Bloomberg|Excel|Power BI,0,Informatics Engineering,3.03,Financial Analyst,2021
J0000102,2024-10-05,Education,Pinnacle Labs,Large (1001-5000),On-site,Mid (3-5 yrs),Bachelor's,177000,Kubernetes|Security|Cost Optimization|Microservices,0,Computer Science|Informatics Engineering|Information Systems,3.51,Cloud Architect,2024
J0000103,2020-02-27,Consulting,Catalyst AI,Mid-size (201-1000),On-site,Mid (3-5 yrs),High School,105000,Roadmapping|Stakeholder Management|A/B Testing|SQL|Product Strategy,0,Management|Law|Psychology,3.25,Product Manager,2020
J0000104,2020-06-15,Retail,Pioneer Labs,Large (1001-5000),Hybrid,Entry (0-2 yrs),Master's,70000,Six Sigma|Budgeting|Data Analysis|Process Improvement,0,Management|Law|Psychology,3.41,Operations Manager,2020
J0000105,2020-02-28,Education,Atlas Corp,Mid-size (201-1000),On-site,Senior (6-9 yrs),Bachelor's,284000,SQL|C++|Statistics,0,Mathematics,3.73,Quantitative Analyst,2020
J0000106,2022-09-11,Education,Catalyst Technologies,Mid-size (201-1000),Hybrid,Lead (10-15 yrs),Bachelor's,308000,Machine Learning|Python|Research,0,Administration,3.2,Research Scientist,2022
J0000107,2023-12-04,Government,Apex Digital,Mid-size (201-1000),Hybrid,Senior (6-9 yrs),Master's,183000,Python|Docker|Java|REST APIs|SQL,0,Informatics Engineering|Information Systems|Computer Science,3.33,Backend Developer,2023
J0000108,2020-04-11,Media,Catalyst Solutions,Mid-size (201-1000),On-site,Lead (10-15 yrs),Associate,231000,SQL|Stakeholder Management|A/B Testing,0,Law|Psychology|Management,3.6,Product Manager,2020
J0000109,2024-09-16,Media,Atlas Analytics,Small (51-200),Hybrid,Entry (0-2 yrs),Master's,92000,REST APIs|Python|Java|SQL|Kubernetes|Git,0,Information Systems,3.18,Software Engineer,2024
J0000110,2024-10-29,Retail,Summit Digital,Startup (1-50),On-site,Senior (6-9 yrs),Bachelor's,108000,SQL|Accounting|FP&A,0,Statistics|Informatics Engineering|Mathematics,3.06,Financial Analyst,2024
J0000111,2020-08-24,Healthcare,Vanguard Digital,Large (1001-5000),On-site,Entry (0-2 yrs),Bachelor's,127000,Python|SQL|Spark|Kafka|dbt|Snowflake,0,Informatics Engineering|Statistics,3.23,Data Engineer,2020
J0000112,2021-02-07,Finance,Horizon Group,Mid-size (201-1000),Remote,Entry (0-2 yrs),Bachelor's,122000,Docker|Kubernetes|PyTorch|MLOps|AWS,0,Statistics|Informatics Engineering,3.13,Machine Learning Engineer,2021
J0000113,2021-12-10,Tech,Synergy Corp,Startup (1-50),Hybrid,Executive (15+ yrs),Master's,226000,Terraform|Python|CI/CD|Linux|Kubernetes,1,Computer Science,3.74,DevOps Engineer,2021
J0000114,2021-04-26,Healthcare,Summit Inc,Mid-size (201-1000),On-site,Lead (10-15 yrs),High School,117000,Design Thinking|Adobe XD|Usability Testing|Prototyping|Figma,0,Administration|Management|Communication Science,3.65,UX Designer,2021
J0000115,2023-11-18,Consulting,Apex Ventures,Mid-size (201-1000),On-site,Senior (6-9 yrs),Bachelor's,151000,Power BI|Tableau|Data Visualization|Statistics|SQL,0,Informatics Engineering|Statistics|Mathematics,3.51,Data Analyst,2023
J0000116,2024-02-13,Government,Apex Ventures,Mid-size (201-1000),On-site,Mid (3-5 yrs),Master's,82000,Employment Law|Compensation|HRIS,0,Management|Law,3.7,HR Manager,2024
J0000117,2023-11-02,Retail,Pioneer Ventures,Mid-size (201-1000),On-site,Mid (3-5 yrs),Master's,284000,Risk Management|Financial Modeling|Derivatives,0,Statistics|Informatics Engineering,3.64,Quantitative Analyst,2023
J0000118,2022-02-20,Logistics,Meridian AI,Enterprise (5000+),Hybrid,Senior (6-9 yrs),Master's,254000,TensorFlow|Research|Publications|Statistics|Machine Learning,0,Administration|Communication Science,3.15,Research Scientist,2022
J0000119,2024-06-06,Consulting,Atlas Group,Small (51-200),On-site,Senior (6-9 yrs),PhD,172000,AWS|Docker|PostgreSQL|SQL|REST APIs,0,Information Systems|Informatics Engineering|Computer Science,3.71,Backend Developer,2024
J0000120,2020-05-02,Tech,Apex Inc,Startup (1-50),On-site,Senior (6-9 yrs),Bachelor's,152000,Compliance|Network Security|Python|Incident Response,1,Informatics Engineering|Mathematics|Statistics,3.43,Cybersecurity Analyst,2020
J0000121,2024-05-11,Retail,Stellar Group,Mid-size (201-1000),On-site,Entry (0-2 yrs),PhD,78000,Adobe XD|Prototyping|Design Thinking|Figma|User Research|Usability Testing,0,Management,3.65,UX Designer,2024
J0000122,2023-01-13,Retail,Meridian Labs,Small (51-200),On-site,Entry (0-2 yrs),Master's,136000,Incident Response|Network Security|Python|Compliance|SIEM|Penetration Testing,0,Mathematics|Informatics Engineering|Statistics,3.72,Cybersecurity Analyst,2023
J0000123,2022-09-07,E-commerce,Catalyst Partners,Large (1001-5000),Remote,Senior (6-9 yrs),Master's,254000,SQL|Java|Kubernetes|Git|Docker|REST APIs,0,Information Systems|Informatics Engineering,3.25,Software Engineer,2022
J0000124,2024-06-20,E-commerce,Synergy Ventures,Enterprise (5000+),On-site,Mid (3-5 yrs),Bachelor's,124000,SQL|PostgreSQL|AWS|REST APIs,0,Computer Science|Informatics Engineering|Information Systems,3.09,Backend Developer,2024
