job_id,post_date,year,month,industry,company,company_size,location,state,work_type,experience_level,experience_min_yrs,experience_max_yrs,education_required,salary_min,salary_max,salary_midpoint,skills_required,benefits,days_to_fill,applicant_count,seniority,is_tech_role,education_background,min_GPA_requirement,job_title
J0000011,2020-10-01,2020,10,Retail,Apex Systems,Enterprise (5000+),"Minneapolis, MN",MN,On-site,Lead (10-15 yrs),10,15,Master's,144000,197000,171000,HTML/CSS|Figma|React|JavaScript|TypeScript,Remote Work|Flexible Hours|Health Insurance|Stock Options,33,33,Lead,0,Computer Science|Informatics Engineering|Information Systems,3.02,Frontend Developer
J0000012,2024-05-25,2024,5,Education,Atlas Solutions,Large (1001-5000),Remote,Remote,Hybrid,Mid (3-5 yrs),3,5,Associate,60000,84000,72000,Financial Modeling|Power BI|FP&A|Bloomberg|SQL,Flexible Hours|Dental/Vision|Gym Membership|Health Insurance,14,97,Mid,0,Statistics|Mathematics|Informatics Engineering,3.78,Financial Analyst
J0000013,2022-12-23,2022,12,Retail,Pioneer Analytics,Mid-size (201-1000),"San Francisco, CA",CA,On-site,Mid (3-5 yrs),3,5,Bachelor's,142000,190000,173000,Penetration Testing|Python|Compliance|SIEM,Gym Membership|Health Insurance|Stock Options|401k|Remote Work,15,61,Mid,0,Informatics Engineering,3.67,Cybersecurity Analyst
J0000014,2023-08-02,2023,8,Tech,Nova Digital,Mid-size (201-1000),"Chicago, IL",IL,Hybrid,Mid (3-5 yrs),3,5,Master's,84000,110000,99000,Digital Marketing|Analytics|Content Strategy|A/B Testing,Unlimited PTO|Remote Work|Dental/Vision,21,63,Mid,1,Management|Law,3.17,Marketing Manager
J0000015,2023-04-12,2023,4,Consulting,Summit Ventures,Mid-size (201-1000),"Denver, CO",CO,Remote,Lead (10-15 yrs),10,15,Master's,199000,261000,224000,Java|AWS|Python|SQL|Docker|REST APIs,Dental/Vision|Stock Options,16,24,Lead,0,Informatics Engineering|Computer Science,3.15,Backend Developer
J0000016,2022-07-26,2022,7,Healthcare,Catalyst AI,Mid-size (201-1000),Remote,Remote,Hybrid,Senior (6-9 yrs),6,9,Bachelor's,172000,226000,197000,TensorFlow|Docker|Spark,Learning Budget|Stock Options|Dental/Vision|Gym Membership,43,190,Senior,0,Mathematics|Statistics,3.15,Machine Learning Engineer
J0000017,2020-09-16,2020,9,Tech,Atlas Group,Mid-size (201-1000),"Phoenix, AZ",AZ,On-site,Senior (6-9 yrs),6,9,Master's,111000,145000,128000,Usability Testing|Figma|Prototyping|Adobe XD|Design Thinking|User Research,Health Insurance|Flexible Hours,32,96,Senior,1,Administration,3.24,UX Designer
J0000018,2023-04-25,2023,4,Education,Atlas Systems,Enterprise (5000+),"Boston, MA",MA,On-site,Entry (0-2 yrs),0,2,Bachelor's,109000,157000,140000,REST APIs|Kubernetes|AWS|SQL|Docker,Dental/Vision|Learning Budget|Remote Work,13,10,Junior,0,Information Systems|Informatics Engineering,3.42,Software Engineer
J0000019,2020-04-09,2020,4,Logistics,Vertex AI,Startup (1-50),Remote,Remote,On-site,Mid (3-5 yrs),3,5,Bachelor's,60000,77000,68000,CRM|Content Strategy|SEO,Dental/Vision|Health Insurance,29,56,Mid,0,Management|Psychology,3.35,Marketing Manager
J0000020,2024-09-14,2024,9,Finance,Quantum Digital,Large (1001-5000),"Seattle, WA",WA,On-site,Senior (6-9 yrs),6,9,Bachelor's,158000,226000,193000,SIEM|Compliance|Network Security,Flexible Hours|Unlimited PTO,27,59,Senior,0,Mathematics|Statistics|Informatics Engineering,3.23,Cybersecurity Analyst
J0000021,2023-04-03,2023,4,Retail,Pinnacle Digital,Mid-size (201-1000),"Austin, TX",TX,On-site,Mid (3-5 yrs),3,5,Bachelor's,145000,205000,174000,Python|Statistics|Derivatives|Risk Management,401k|Health Insurance|Dental/Vision|Gym Membership,56,289,Mid,0,Informatics Engineering|Mathematics|Statistics,3.49,Quantitative Analyst
J0000022,2023-02-07,2023,2,E-commerce,Nexus AI,Mid-size (201-1000),"Los Angeles, CA",CA,On-site,Lead (10-15 yrs),10,15,Bachelor's,198000,259000,231000,JavaScript|REST APIs|TypeScript|HTML/CSS|Git,Dental/Vision|Remote Work,8,345,Lead,0,Informatics Engineering|Information Systems,3.11,Frontend Developer
J0000023,2023-11-18,2023,11,Manufacturing,Nexus Analytics,Startup (1-50),"Minneapolis, MN",MN,On-site,Entry (0-2 yrs),0,2,Bachelor's,51000,69000,58000,Six Sigma|ERP|Process Improvement|Lean|Data Analysis,Unlimited PTO|Gym Membership,8,198,Junior,0,Industrial Engineering,3.23,Operations Manager
J0000024,2021-06-21,2021,6,Logistics,Vanguard Analytics,Large (1001-5000),"New York, NY",NY,On-site,Entry (0-2 yrs),0,2,Bachelor's,70000,102000,86000,Talent Acquisition|Compensation|HRIS|Performance Management|Employment Law,Remote Work|Parental Leave|Health Insurance|Unlimited PTO,19,17,Junior,0,Psychology|Law,3.29,HR Manager
J0000025,2022-09-17,2022,9,Finance,Quantum Ventures,Startup (1-50),"Portland, OR",OR,Hybrid,Mid (3-5 yrs),3,5,Master's,144000,195000,167000,SQL|Risk Management|Financial Modeling|C++|R|Derivatives,Learning Budget|Health Insurance|Remote Work,50,85,Mid,0,Statistics,3.36,Quantitative Analyst
J0000026,2022-02-20,2022,2,Tech,Vertex Ventures,Large (1001-5000),"San Francisco, CA",CA,On-site,Lead (10-15 yrs),10,15,Bachelor's,182000,238000,210000,Data Visualization|Excel|Tableau|Statistics|Python,Parental Leave|Stock Options|Health Insurance|Gym Membership|401k,50,31,Lead,1,Informatics Engineering|Statistics,3.63,Data Analyst
J0000027,2024-09-29,2024,9,Government,Summit Inc,Large (1001-5000),"Seattle, WA",WA,Hybrid,Senior (6-9 yrs),6,9,Master's,238000,319000,275000,Airflow|Spark|SQL|Python|AWS,Parental Leave|Stock Options,42,667,Senior,0,Mathematics|Informatics Engineering|Statistics,3.16,Data Engineer
J0000028,2023-03-24,2023,3,Education,Stellar Labs,Small (51-200),Remote,Remote,Hybrid,Senior (6-9 yrs),6,9,Bachelor's,112000,164000,144000,R|Python|Tableau,Dental/Vision|Parental Leave|Unlimited PTO|Stock Options,24,31,Senior,0,Mathematics|Informatics Engineering|Statistics,3.41,Data Scientist
J0000029,2022-02-12,2022,2,Education,Nexus Systems,Small (51-200),"Dallas, TX",TX,Hybrid,Entry (0-2 yrs),0,2,Bootcamp,49000,63000,58000,Python|Statistics|Excel|Data Visualization|Tableau|Power BI,Remote Work|Parental Leave|Stock Options|401k,85,125,Junior,0,Statistics|Mathematics,3.47,Data Analyst
J0000030,2023-12-10,2023,12,Finance,Stellar Technologies,Mid-size (201-1000),"Chicago, IL",IL,On-site,Lead (10-15 yrs),10,15,Bachelor's,229000,336000,280000,Security|Kubernetes|Terraform|AWS|Cost Optimization,Learning Budget|Health Insurance|Flexible Hours,6,115,Lead,0,Information Systems|Informatics Engineering|Computer Science,3.04,Cloud Architect
J0000031,2021-04-16,2021,4,Retail,Summit Digital,Small (51-200),"Miami, FL",FL,Remote,Mid (3-5 yrs),3,5,Bachelor's,93000,121000,111000,TensorFlow|R|Statistics,Health Insurance|Dental/Vision,32,531,Mid,0,Management,3.49,Research Scientist
J0000032,2023-05-11,2023,5,Finance,Apex Ventures,Large (1001-5000),"Chicago, IL",IL,Remote,Entry (0-2 yrs),0,2,Bachelor's,64000,91000,79000,Process Improvement|Data Analysis|Lean|Supply Chain|Budgeting|ERP,Flexible Hours|401k|Remote Work|Unlimited PTO|Stock Options,32,575,Junior,0,Psychology,3.14,Operations Manager
J0000033,2022-08-26,2022,8,Education,Pinnacle Labs,Small (51-200),"San Francisco, CA",CA,Hybrid,Senior (6-9 yrs),6,9,Bachelor's,197000,269000,240000,Python|CI/CD|Docker|AWS|Terraform,Health Insurance|Unlimited PTO|401k|Dental/Vision|Parental Leave,29,43,Senior,0,Computer Science|Informatics Engineering,3.05,DevOps Engineer
J0000034,2020-10-20,2020,10,Retail,Apex Partners,Enterprise (5000+),"Los Angeles, CA",CA,On-site,Senior (6-9 yrs),6,9,Master's,176000,245000,211000,JavaScript|HTML/CSS|Figma|Git|React|REST APIs,Parental Leave|Dental/Vision|Stock Options,33,40,Senior,0,Information Systems,3.76,Frontend Developer
J0000035,2022-10-23,2022,10,Education,Horizon Ventures,Startup (1-50),Remote,Remote,Remote,Executive (15+ yrs),15,20,Bachelor's,206000,240000,229000,AWS|Python|SQL,Flexible Hours|401k|Stock Options,57,108,Executive,0,Statistics|Informatics Engineering|Mathematics,3.77,Data Engineer
J0000036,2022-08-06,2022,8,Retail,Stellar AI,Small (51-200),"Seattle, WA",WA,On-site,Entry (0-2 yrs),0,2,Master's,76000,102000,91000,Python|Statistics|Data Visualization|Tableau|Power BI|SQL,Stock Options|Health Insurance,25,238,Junior,0,Mathematics|Statistics,3.65,Data Analyst
J0000037,2024-08-07,2024,8,Tech,Vertex Solutions,Mid-size (201-1000),"San Francisco, CA",CA,Hybrid,Mid (3-5 yrs),3,5,Bachelor's,204000,269000,248000,Java|System Design|CI/CD|Kubernetes|AWS|Microservices,Gym Membership|Parental Leave|Health Insurance,53,95,Mid,1,Computer Science,3.24,Senior Software Engineer
J0000038,2024-10-06,2024,10,E-commerce,Summit Inc,Mid-size (201-1000),"Portland, OR",OR,Hybrid,Lead (10-15 yrs),10,15,Master's,215000,300000,258000,Snowflake|AWS|Spark|SQL|Airflow|Python,Gym Membership|Stock Options|Learning Budget,23,141,Lead,0,Informatics Engineering,3.08,Data Engineer
J0000039,2020-12-04,2020,12,Education,Summit Digital,Enterprise (5000+),"Chicago, IL",IL,Remote,Entry (0-2 yrs),0,2,Associate,84000,116000,100000,PyTorch|Spark|TensorFlow,Dental/Vision|Flexible Hours|Unlimited PTO,23,55,Junior,0,Mathematics|Statistics|Informatics Engineering,3.55,Machine Learning Engineer
J0000040,2020-07-25,2020,7,Government,Vertex Group,Startup (1-50),"Austin, TX",TX,On-site,Entry (0-2 yrs),0,2,Bachelor's,98000,134000,113000,Microservices|Security|AWS|Terraform,Flexible Hours|Stock Options,11,229,Junior,0,Computer Science|Information Systems|Informatics Engineering,3.35,Cloud Architect
J0000041,2023-07-15,2023,7,Consulting,Horizon AI,Large (1001-5000),"Los Angeles, CA",CA,Hybrid,Mid (3-5 yrs),3,5,Bachelor's,120000,178000,154000,PostgreSQL|Docker|SQL|AWS|REST APIs,Gym Membership|401k|Flexible Hours|Stock Options|Learning Budget,13,98,Mid,0,Information Systems,3.1,Backend Developer
J0000042,2022-10-22,2022,10,E-commerce,Pinnacle Labs,Small (51-200),Remote,Remote,Hybrid,Lead (10-15 yrs),10,15,Master's,125000,180000,150000,Google Ads|Content Strategy|A/B Testing|Digital Marketing|SEO,Unlimited PTO|Parental Leave,20,73,Lead,0,Management|Law,3.4,Marketing Manager
J0000043,2022-04-18,2022,4,Finance,Apex Labs,Small (51-200),"Seattle, WA",WA,Hybrid,Mid (3-5 yrs),3,5,Associate,120000,170000,141000,Publications|Statistics|Research|R|Machine Learning,Stock Options|Remote Work|Learning Budget,78,298,Mid,0,Management,3.03,Research Scientist
J0000044,2023-11-07,2023,11,Finance,Quantum Systems,Startup (1-50),"New York, NY",NY,Hybrid,Mid (3-5 yrs),3,5,Bachelor's,165000,203000,183000,Docker|CI/CD|Python|Terraform|Linux|Kubernetes,Remote Work|Unlimited PTO|Health Insurance|Flexible Hours|Parental Leave,17,358,Mid,0,Informatics Engineering|Computer Science|Information Systems,3.73,DevOps Engineer
J0000045,2021-02-13,2021,2,Finance,Catalyst Technologies,Large (1001-5000),"Washington, DC",DC,Hybrid,Lead (10-15 yrs),10,15,PhD,206000,283000,247000,Google Ads|Digital Marketing|A/B Testing|Content Strategy|CRM,Gym Membership|Dental/Vision|Learning Budget|Parental Leave|Health Insurance,51,186,Lead,0,Psychology|Law,3.21,Marketing Manager
J0000046,2020-05-24,2020,5,Consulting,Pinnacle Group,Mid-size (201-1000),"Chicago, IL",IL,Hybrid,Senior (6-9 yrs),6,9,Bachelor's,99000,140000,124000,A/B Testing|Digital Marketing|Analytics|SEO|Google Ads,Remote Work|Learning Budget,28,111,Senior,0,Psychology|Management|Law,3.53,Marketing Manager
J0000047,2022-04-29,2022,4,Logistics,Summit Inc,Small (51-200),"New York, NY",NY,On-site,Executive (15+ yrs),15,20,Bachelor's,233000,305000,277000,JavaScript|React|Figma|HTML/CSS|REST APIs|Git,Health Insurance|Remote Work|Stock Options|Flexible Hours,9,174,Executive,0,Information Systems|Computer Science|Informatics Engineering,3.25,Frontend Developer
J0000048,2022-10-03,2022,10,E-commerce,Stellar Systems,Enterprise (5000+),"Denver, CO",CO,Hybrid,Mid (3-5 yrs),3,5,Master's,160000,217000,192000,Product Strategy|Agile|A/B Testing|Roadmapping,Health Insurance|Gym Membership|Remote Work|Unlimited PTO,21,277,Mid,0,Psychology,3.42,Product Manager
J0000049,2020-04-03,2020,4,Education,Quantum Systems,Enterprise (5000+),"Denver, CO",CO,On-site,Mid (3-5 yrs),3,5,Master's,174000,234000,202000,Security|GCP|Cost Optimization|Kubernetes|Azure|Terraform,Learning Budget|Parental Leave|Unlimited PTO|Stock Options|Dental/Vision,8,91,Mid,0,Informatics Engineering|Computer Science,3.44,Cloud Architect
J0000050,2023-09-22,2023,9,Consulting,Summit Systems,Mid-size (201-1000),"Atlanta, GA",GA,On-site,Entry (0-2 yrs),0,2,High School,92000,125000,104000,Microservices|Kubernetes|System Design,Flexible Hours|Unlimited PTO|Health Insurance|Dental/Vision|Gym Membership,55,26,Junior,0,Information Systems,3.15,Senior Software Engineer
J0000051,2023-12-19,2023,12,Media,Quantum Technologies,Large (1001-5000),"Boston, MA",MA,On-site,Entry (0-2 yrs),0,2,High School,51000,68000,60000,Tableau|SQL|Data Visualization|Python|Power BI,Flexible Hours|Gym Membership,66,99,Junior,0,Statistics|Informatics Engineering|Mathematics,3.78,Data Analyst
J0000052,2023-06-02,2023,6,Consulting,Meridian Partners,Startup (1-50),"Seattle, WA",WA,Hybrid,Senior (6-9 yrs),6,9,Bachelor's,142000,198000,180000,Spark|Machine Learning|Statistics|TensorFlow|R,Parental Leave|Learning Budget|Dental/Vision|Flexible Hours,43,38,Senior,0,Statistics|Informatics Engineering|Mathematics,3.62,Data Scientist
J0000053,2024-08-11,2024,8,Manufacturing,Pioneer Partners,Large (1001-5000),"Seattle, WA",WA,Hybrid,Senior (6-9 yrs),6,9,Bachelor's,242000,329000,292000,Statistics|R|C++|Python|Derivatives,Flexible Hours|Health Insurance|Gym Membership|Parental Leave|Dental/Vision,31,109,Senior,0,Informatics Engineering|Mathematics,3.75,Quantitative Analyst
J0000054,2021-11-16,2021,11,Education,Catalyst Systems,Mid-size (201-1000),"Phoenix, AZ",AZ,Remote,Mid (3-5 yrs),3,5,Bachelor's,108000,151000,133000,Cost Optimization|Terraform|AWS|Security,Health Insurance|Stock Options|401k|Flexible Hours,12,104,Mid,0,Computer Science|Information Systems|Informatics Engineering,3.72,Cloud Architect
J0000055,2022-05-13,2022,5,Government,Nova Analytics,Large (1001-5000),"Atlanta, GA",GA,Hybrid,Mid (3-5 yrs),3,5,Associate,105000,148000,124000,R|Statistics|Publications|TensorFlow,Learning Budget|Parental Leave|Health Insurance|Dental/Vision|Unlimited PTO,31,50,Mid,0,Communication Science,3.48,Research Scientist
J0000056,2023-06-02,2023,6,Consulting,Meridian Analytics,Startup (1-50),"Boston, MA",MA,Hybrid,Mid (3-5 yrs),3,5,Bachelor's,159000,232000,197000,SQL|R|Statistics|Python|Derivatives,401k|Remote Work|Unlimited PTO|Learning Budget,13,207,Mid,0,Informatics Engineering|Mathematics,3.74,Quantitative Analyst
J0000057,2022-08-23,2022,8,Education,Vanguard Inc,Enterprise (5000+),"Atlanta, GA",GA,On-site,Senior (6-9 yrs),6,9,Associate,150000,220000,182000,Python|AWS|Airflow|SQL|Snowflake|Spark,Dental/Vision|Health Insurance|Gym Membership|Parental Leave|401k,12,309,Senior,0,Mathematics,3.07,Data Engineer
J0000058,2021-09-07,2021,9,Retail,Pioneer Labs,Enterprise (5000+),"Austin, TX",TX,On-site,Senior (6-9 yrs),6,9,Master's,141000,189000,170000,Figma|Usability Testing|Adobe XD,Flexible Hours|Health Insurance|Parental Leave|Unlimited PTO|Stock Options,38,396,Senior,0,Management,3.16,UX Designer
J0000059,2023-09-07,2023,9,Tech,Pioneer Systems,Mid-size (201-1000),"Phoenix, AZ",AZ,On-site,Mid (3-5 yrs),3,5,Master's,139000,177000,164000,System Design|Java|AWS,Health Insurance|Remote Work|Flexible Hours,20,20,Mid,1,Computer Science|Informatics Engineering|Information Systems,3.04,Senior Software Engineer
J0000060,2021-12-22,2021,12,Finance,Summit Technologies,Startup (1-50),"Miami, FL",FL,Hybrid,Mid (3-5 yrs),3,5,Bachelor's,156000,198000,172000,Python|AWS|System Design|Java|CI/CD|Docker,Gym Membership|401k|Stock Options|Remote Work,32,158,Mid,0,Information Systems,3.26,Senior Software Engineer
J0000061,2024-07-03,2024,7,Education,Quantum Labs,Small (51-200),"San Francisco, CA",CA,Remote,Entry (0-2 yrs),0,2,Bachelor's,129000,164000,145000,Azure|Cost Optimization|GCP|Microservices|AWS|Security,Remote Work|Unlimited PTO|Gym Membership,66,62,Junior,0,Information Systems|Informatics Engineering,3.31,Cloud Architect
J0000062,2020-10-18,2020,10,Education,Vertex Technologies,Large (1001-5000),"San Francisco, CA",CA,On-site,Mid (3-5 yrs),3,5,Bachelor's,167000,246000,197000,Python|AWS|Airflow,Health Insurance|Gym Membership,24,18,Mid,0,Mathematics|Statistics,3.22,Data Engineer
J0000063,2022-12-03,2022,12,Education,Apex Inc,Startup (1-50),"San Francisco, CA",CA,Remote,Lead (10-15 yrs),10,15,Associate,148000,203000,164000,Prototyping|Adobe XD|User Research|Figma|Design Thinking,Learning Budget|Health Insurance|Parental Leave|Dental/Vision|Flexible Hours,45,81,Lead,0,Administration,3.66,UX Designer
J0000064,2021-10-10,2021,10,Manufacturing,Pinnacle Ventures,Mid-size (201-1000),"San Francisco, CA",CA,Hybrid,Senior (6-9 yrs),6,9,Bachelor's,242000,329000,300000,Statistics|Derivatives|Python|R|SQL,Stock Options|Learning Budget|Health Insurance|Unlimited PTO,10,45,Senior,0,Mathematics|Informatics Engineering|Statistics,3.29,Quantitative Analyst
J0000065,2020-06-26,2020,6,Logistics,Vertex Group,Startup (1-50),"Los Angeles, CA",CA,Hybrid,Lead (10-15 yrs),10,15,Associate,156000,209000,177000,Python|Penetration Testing|Incident Response|Compliance,401k|Unlimited PTO|Gym Membership|Dental/Vision|Flexible Hours,26,119,Lead,0,Mathematics|Statistics,3.22,Cybersecurity Analyst
J0000066,2021-04-03,2021,4,Government,Synergy Corp,Large (1001-5000),"New York, NY",NY,Hybrid,Entry (0-2 yrs),0,2,Bachelor's,75000,104000,86000,Design Thinking|Prototyping|Adobe XD|Figma,Unlimited PTO|Dental/Vision|401k|Learning Budget|Gym Membership,43,234,Junior,0,Administration|Communication Science,3.43,UX Designer
J0000067,2021-10-05,2021,10,Retail,Vertex Partners,Startup (1-50),"Dallas, TX",TX,Hybrid,Senior (6-9 yrs),6,9,PhD,125000,185000,160000,Prototyping|Usability Testing|Design Thinking|Figma,Remote Work|Flexible Hours|Learning Budget|Health Insurance,59,427,Senior,0,Management,3.11,UX Designer
J0000068,2021-01-13,2021,1,Media,Catalyst Solutions,Large (1001-5000),"Los Angeles, CA",CA,Hybrid,Senior (6-9 yrs),6,9,Master's,198000,267000,240000,Kubernetes|CI/CD|Python,Stock Options|Dental/Vision|401k|Unlimited PTO|Health Insurance,69,135,Senior,0,Informatics Engineering,3.64,DevOps Engineer
J0000069,2020-09-28,2020,9,Government,Apex Group,Small (51-200),"San Francisco, CA",CA,On-site,Senior (6-9 yrs),6,9,PhD,187000,255000,221000,SQL|R|Spark,Flexible Hours|401k|Gym Membership|Stock Options,33,93,Senior,0,Informatics Engineering|Mathematics,3.06,Data Scientist
J0000070,2020-09-08,2020,9,Tech,Nexus Labs,Enterprise (5000+),"San Francisco, CA",CA,On-site,Mid (3-5 yrs),3,5,Bachelor's,142000,188000,174000,Python|REST APIs|Redis|SQL|AWS,Learning Budget|Gym Membership|Flexible Hours|Unlimited PTO,88,17,Mid,1,Informatics Engineering|Information Systems|Computer Science,3.79,Backend Developer
J0000071,2023-01-11,2023,1,Media,Vertex Corp,Small (51-200),"San Francisco, CA",CA,Hybrid,Executive (15+ yrs),15,20,Bachelor's,357000,483000,424000,AWS|Python|TensorFlow|PyTorch|Docker,Gym Membership|Stock Options|Remote Work|Parental Leave,33,224,Executive,0,Mathematics|Informatics Engineering|Statistics,3.62,Machine Learning Engineer
J0000072,2020-01-22,2020,1,Retail,Nexus Ventures,Mid-size (201-1000),"Washington, DC",DC,Hybrid,Mid (3-5 yrs),3,5,Master's,123000,167000,146000,AWS|REST APIs|Docker|Java|Redis,Learning Budget|Health Insurance|401k|Gym Membership|Dental/Vision,20,53,Mid,0,Informatics Engineering,3.16,Backend Developer
J0000073,2024-02-03,2024,2,Media,Vanguard Corp,Mid-size (201-1000),"Denver, CO",CO,On-site,Entry (0-2 yrs),0,2,Bachelor's,55000,79000,66000,Talent Acquisition|Employment Law|Compensation|HRIS,Gym Membership|Flexible Hours|Unlimited PTO,30,66,Junior,0,Management|Law,3.0,HR Manager
J0000074,2022-12-15,2022,12,Education,Summit Solutions,Enterprise (5000+),"Austin, TX",TX,Remote,Senior (6-9 yrs),6,9,Associate,146000,213000,176000,PyTorch|AWS|Kubernetes|Docker|TensorFlow|Python,Unlimited PTO|Flexible Hours|Dental/Vision|Learning Budget|Gym Membership,20,173,Senior,0,Mathematics|Statistics,3.65,Machine Learning Engineer
J0000075,2022-12-10,2022,12,Manufacturing,Stellar Inc,Large (1001-5000),"San Francisco, CA",CA,On-site,Entry (0-2 yrs),0,2,Bachelor's,136000,189000,156000,SQL|Git|REST APIs|Docker,Unlimited PTO|Health Insurance,24,84,Junior,0,Information Systems,3.57,Software Engineer
J0000076,2023-05-25,2023,5,Consulting,Vanguard Systems,Mid-size (201-1000),Remote,Remote,On-site,Senior (6-9 yrs),6,9,PhD,199000,259000,232000,A/B Testing|Roadmapping|Stakeholder Management|Agile|Product Strategy|SQL,Learning Budget|Dental/Vision|Flexible Hours,13,219,Senior,0,Law,3.58,Product Manager
J0000077,2020-01-09,2020,1,Logistics,Catalyst AI,Startup (1-50),"Boston, MA",MA,On-site,Entry (0-2 yrs),0,2,Master's,103000,147000,126000,Roadmapping|Agile|SQL|Product Strategy|A/B Testing,Parental Leave|Flexible Hours|401k|Stock Options|Remote Work,43,96,Junior,0,Law|Psychology|Management,3.62,Product Manager
J0000078,2022-01-05,2022,1,Media,Pioneer Inc,Large (1001-5000),"Chicago, IL",IL,Hybrid,Entry (0-2 yrs),0,2,Bachelor's,119000,156000,135000,AWS|Cost Optimization|Azure|Security|Microservices|Terraform,401k|Learning Budget|Gym Membership,7,108,Junior,0,Computer Science|Informatics Engineering,3.06,Cloud Architect
J0000079,2021-10-19,2021,10,Healthcare,Stellar Analytics,Large (1001-5000),"Boston, MA",MA,On-site,Mid (3-5 yrs),3,5,Bachelor's,135000,173000,149000,User Research|Adobe XD|Figma|Usability Testing|Prototyping|Design Thinking,Stock Options|Parental Leave|Learning Budget,32,111,Mid,0,Management,3.29,UX Designer
J0000080,2024-02-28,2024,2,Consulting,Pinnacle Solutions,Large (1001-5000),"San Francisco, CA",CA,Remote,Mid (3-5 yrs),3,5,High School,171000,239000,205000,Derivatives|Python|R,Flexible Hours|401k|Gym Membership|Stock Options|Learning Budget,8,41,Mid,0,Statistics|Mathematics|Informatics Engineering,3.09,Quantitative Analyst
J0000081,2022-03-16,2022,3,Finance,Stellar Group,Small (51-200),"Miami, FL",FL,On-site,Entry (0-2 yrs),0,2,Master's,104000,138000,122000,Terraform|Azure|Kubernetes|GCP|AWS|Microservices,Learning Budget|Stock Options|401k|Parental Leave,28,47,Junior,0,Computer Science|Informatics Engineering,3.69,Cloud Architect
J0000082,2021-10-01,2021,10,Consulting,Quantum Solutions,Enterprise (5000+),"Dallas, TX",TX,On-site,Mid (3-5 yrs),3,5,High School,104000,137000,118000,Java|Docker|Redis,Learning Budget|Remote Work,16,55,Mid,0,Information Systems|Informatics Engineering|Computer Science,3.5,Backend Developer
